File Path,Duration (s)
BabyView Bing/02750001/07/24/2023/GX040015.MP4,704.7
BabyView Bing/02750001/07/24/2023/GX050015.MP4,288.83
BabyView Bing/02750001/07/24/2023/GX010017.MP4,257.82
BabyView Bing/02750001/07/24/2023/GX030015.MP4,704.7
BabyView Bing/02750001/07/24/2023/GX010015.MP4,704.7
BabyView Bing/02750001/07/24/2023/GX020015.MP4,704.7
BabyView Bing/02750001/07/24/2023/GX020016.MP4,646.41
BabyView Bing/02750001/07/24/2023/GX010016.MP4,704.7
BabyView Bing/02750001/07/19/2023/GX010010.MP4,137.07
BabyView Bing/Bobby Temp/GX010035.MP4,768.77
BabyView Bing/Bobby Temp/GX030033.MP4,704.7
BabyView Bing/Bobby Temp/GX010034.MP4,751.18
BabyView Bing/Bobby Temp/GX040033.MP4,41.98
BabyView Bing/Bobby Temp/GX030035.MP4,704.7
BabyView Bing/Bobby Temp/GX010033.MP4,704.7
BabyView Bing/Bobby Temp/GX020035.MP4,704.7
BabyView Bing/Bobby Temp/GX040035.MP4,73.14
BabyView Bing/Bobby Temp/GX020033.MP4,704.7
BabyView Bing/02730001/8/4/2023/GX020044.MP4,704.7
BabyView Bing/02730001/8/4/2023/GX010044.MP4,711.72
BabyView Bing/02730001/8/4/2023/GX030044.MP4,99.77000000000001
BabyView Bing/02730001/8/2/2023/GX010042.MP4,712.73
BabyView Bing/02730001/8/2/2023/GX020042.MP4,262.43
BabyView Bing/02730001/7/24/2023/GX010019.MP4,291.36
BabyView Bing/02730001/7/24/2023/GX010021.MP4,328.56
BabyView Bing/02730001/7/28/2023/GX010015.MP4,768.77
BabyView Bing/02730001/7/28/2023/GX020015.MP4,203.5
BabyView Bing/02730001/7/21/2023/GX010014.MP4,304.54
BabyView Bing/01590001/8/7/23/GX010021.MP4,704.7
BabyView Bing/01590001/8/7/23/GX030021.MP4,704.7
BabyView Bing/01590001/8/7/23/GX020021.MP4,704.7
BabyView Bing/01590001/8/7/23/GX040021.MP4,387.15
BabyView Bing/01740001/7-17-23/GX020009.MP4,704.7
BabyView Bing/01740001/7-17-23/GX010009.MP4,768.77
BabyView Bing/01740001/7-17-23/GX030009.MP4,112.61
BabyView Bing/02390001/07/17/2023/GX020007.MP4,704.7
BabyView Bing/02390001/07/17/2023/GX010007.MP4,704.7
BabyView Bing/02390001/07/17/2023/GX030007.MP4,673.44
BabyView Bing/02390001/07/26/2023/GX030022.MP4,353.37
BabyView Bing/02390001/07/26/2023/GX010021.MP4,704.7
BabyView Bing/02390001/07/26/2023/GX010022.MP4,768.77
BabyView Bing/02390001/07/26/2023/GX030021.MP4,153.89
BabyView Bing/02390001/07/26/2023/GX020021.MP4,704.7
BabyView Bing/02390001/07/26/2023/GX020022.MP4,768.77
BabyView Bing/02390001/07/21/2023/GX010017.MP4,832.83
BabyView Bing/02390001/07/21/2023/GX020017.MP4,604.3
BabyView Bing/01750001/8/6/2023/GX010047.MP4,350.45
BabyView Bing/01750001/7/26/2023/GX010029.MP4,439.31
BabyView Bing/01750001/7/28/2023/GX010033.MP4,276.04
BabyView Bing/01750001/7/28/2023/GX020036.MP4,371.84
BabyView Bing/01750001/7/28/2023/GX010036.MP4,766.78
BabyView Bing/01750001/07-17-2023/GX010004.MP4,81.68
BabyView Bing/01970002/07/17/2023/GX010008.MP4,601.2
BabyView Bing/01970002/07/26/2023/GX010020.MP4,768.77
BabyView Bing/01970002/07/26/2023/GX020020.MP4,41.57
BabyView Bing/01970002/7/31/2023/GX010017.MP4,590.72
BabyView Bing/01970002/08/02/2023/GX020024.MP4,704.7
BabyView Bing/01970002/08/02/2023/GX010024.MP4,704.7
BabyView Bing/01970002/08/02/2023/GX030024.MP4,540.47
BabyView Bing/02100001/07/17/2023/GX040003.MP4,479.08
BabyView Bing/02100001/07/17/2023/GX010003.MP4,768.77
BabyView Bing/02100001/07/17/2023/GX020003.MP4,704.7
BabyView Bing/02100001/07/17/2023/GX030003.MP4,704.7
BabyView Bing/02100001/7/28/2023/GX020032.MP4,188.12
BabyView Bing/02100001/7/28/2023/GX010032.MP4,704.7
BabyView Bing/02490001/8/4/2023/GX010045.MP4,768.77
BabyView Bing/02490001/8/4/2023/GX030045.MP4,11.64
BabyView Bing/02490001/8/4/2023/GX020045.MP4,832.83
BabyView Bing/02490001/07/31/2023/GX010018.MP4,264.9
BabyView Bing/02490001/07/14/2023/GX030002.MP4,237.87
BabyView Bing/02490001/07/14/2023/GX010002.MP4,704.7
BabyView Bing/02490001/07/14/2023/GX020002.MP4,704.7
BabyView Bing/02490001/07/19/2023/GX010011.MP4,768.77
BabyView Bing/02490001/07/19/2023/GX020011.MP4,48.6
BabyView Bing/02670001/07/31/2023/GX010020.MP4,704.7
BabyView Bing/02670001/07/31/2023/GX030020.MP4,19.32
BabyView Bing/02670001/07/31/2023/GX020020.MP4,704.7
BabyView Bing/02670001/7/17/2023/GX010003.MP4,704.7
BabyView Bing/02670001/7/17/2023/GX020003.MP4,704.7
BabyView Bing/02670001/7/17/2023/GX030003.MP4,399.0
BabyView Bing/02670001/7/24/2023/GX010011.MP4,704.7
BabyView Bing/02670001/7/24/2023/GX020011.MP4,507.01
BabyView Bing/02670001/7/19/2023/GX010007.MP4,643.34
BabyView Bing/01990001/8/6/2023/GX010052.MP4,739.75
BabyView Bing/01990001/8/6/2023/GX020052.MP4,672.74
BabyView Bing/01990001/8/6/2023/GX020051.MP4,477.44
BabyView Bing/01990001/8/6/2023/GX010051.MP4,832.83
